id,age,gender,education,pc_choice,pc_result,x,y,pc_choice_image,pc_choice_x,pc_choice_y,dist
5ff74e6871ad563cc351a006,35.0,Female,Bachelor's degree,top left,circle,119.0909090909091,133.63636363636363,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,136,125,18.986946364052454
60183237eb6259027c15520f,25.0,Female,"Some college, no degree",bottom left,square,83.63636363636364,217.27272727272725,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,182,405,211.93615520787748
60920fb902b4f36fb41f6a07,36.0,Male,"Some college, no degree",bottom left,square,164.54545454545453,425.45454545454544,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,182,405,26.889581379725108
6099a2ef98a16fd96561cd86,19.0,Female,"Some college, no degree",right,square,159.0909090909091,218.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,398,162,245.42605895304422
5b37f1837bc6be00010c9657,27.0,Male,"Some college, no degree",bottom left,circle,228.1818181818182,82.72727272727272,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,182,405,325.56484926106526
578b5e8ebaec1b0001696813,31.0,Other or prefer not to say,"Some college, no degree",bottom left,square,430.0,257.27272727272725,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,182,405,288.66476596120634
5fadde431deea820c0b9fdc5,29.0,Male,"Some college, no degree",top left,circle,339.09090909090907,422.7272727272727,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,136,125,360.3990098224352
5ea533a52d770639a4609179,41.0,Female,Graduate or professional degree,top left,circle,343.6363636363636,326.3636363636364,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,136,125,289.2406844718063
5f0465a6997cb9063539f16b,44.0,Male,Graduate or professional degree,bottom left,circle,310.0,250.9090909090909,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,182,405,200.31976503695986
5e1f6f7aab132b2a6adc0309,28.0,Male,"Some college, no degree",right,circle,417.27272727272725,176.36363636363635,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,398,162,24.036473662242994
5ff06a8c8ac1823bbf74b078,35.0,Female,Bachelor's degree,bottom left,square,349.09090909090907,97.27272727272727,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,182,405,350.16488442017106
58497529bd87380001552f71,41.0,Male,"Some college, no degree",bottom left,circle,371.8181818181818,140.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,182,405,325.96923497281205
5cdee58b1497a8000147ba77,26.0,Female,Bachelor's degree,right,circle,113.63636363636363,98.18181818181817,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,398,162,291.4368508211152
5f5056419089361d29808a06,27.0,Female,Graduate or professional degree,top left,circle,125.45454545454545,203.63636363636363,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,136,125,79.3403068907643
5d495ffc8e0dc50018999b7d,30.0,Female,Graduate or professional degree,right,square,180.0,278.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,398,162,247.02674931276786
5a554d85f6c517000194ad2b,36.0,Female,"Some college, no degree",top left,square,431.8181818181818,256.3636363636364,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,136,125,323.6739125306402
5b798bd4ae3bc00001387d4c,45.0,Male,Bachelor's degree,top left,square,205.45454545454544,182.72727272727272,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,136,125,90.312634225929
5f002c388830f10008a44103,28.0,Female,Graduate or professional degree,bottom left,circle,291.8181818181818,179.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,182,405,251.18708249673816
5c3c744dde5b6e000171396b,41.0,Female,Bachelor's degree,top left,square,441.8181818181818,354.54545454545456,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,136,125,382.3818458466064
