id,age,gender,education,pc_choice,pc_result,x,y,pc_choice_image,bigl,gambling_expectancies,illusion_of_control,predictive_control,inability_to_stop_gambling,interpretive_bias,rational_ability,rational_engagement,experimental_ability,experimental_engagement,pc_choice_x,pc_choice_y,dist
5e453abec1c12e01c71dabc8,45,Other or prefer not to say,Graduate or professional degree,bottom left,1.0,189.0,383.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,35.0,4.0,4.0,7.0,5.0,5.0,14.0,22.0,27.0,33.0,182,405,23.08679276123039
599de37e17c03c000151b1f2,25,Male,Bachelor's degree,top left,5.0,412.0,319.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,32.0,4.0,4.0,6.0,5.0,4.0,22.0,22.0,32.0,29.0,136,125,337.3603414748094
5db74e2ec40ed8000ca2e5d0,37,Female,High school graduate (includes equivalency),bottom left,5.0,421.0,206.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,311.00160771288625
5c9f8113192c1c0012f3bf2f,20,Female,High school graduate (includes equivalency),bottom left,5.0,371.0,139.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,28.0,5.0,4.0,9.0,5.0,4.0,26.0,24.0,27.0,29.0,182,405,326.3081365825866
5ebc1b7eee44e501328a5dee,42,Female,Bachelor's degree,right,1.0,262.0,168.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,27.0,11.0,6.0,33.0,5.0,19.0,17.0,22.0,25.0,27.0,398,162,136.13228860193308
594cd63c7fd80d00014c484d,28,Male,"Some college, no degree",top left,1.0,70.0,346.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,230.6447484769597
5d1f6f142e9ac30018b523b3,30,Female,Less than high school,top left,0.0,176.0,341.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,31.0,10.0,6.0,14.0,6.0,7.0,31.0,33.0,31.0,30.0,136,125,219.6724834839357
5eaa1270bd3d1018bea28928,18,Female,"Some college, no degree",right,0.0,212.0,250.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,22.0,4.0,4.0,9.0,5.0,4.0,30.0,30.0,30.0,34.0,398,162,205.7668583615933
5e69ad3802aaf6011d1677eb,22,Female,High school graduate (includes equivalency),top left,1.0,403.0,273.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,21.0,4.0,4.0,7.0,5.0,4.0,23.0,21.0,32.0,32.0,136,125,305.2752856030111
5f57fb66e560043518d887f1,31,Male,High school graduate (includes equivalency),top left,1.0,419.0,201.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,27.0,11.0,8.0,21.0,5.0,8.0,30.0,30.0,26.0,30.0,136,125,293.027302482209
5e3d9e02d53178000b0fa65e,21,Female,Bachelor's degree,top left,1.0,286.0,209.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,37.0,9.0,10.0,21.0,6.0,8.0,23.0,27.0,30.0,28.0,136,125,171.91858538273283
5f2c22a61f16a007991ac2d2,20,Male,"Some college, no degree",top left,1.0,262.0,168.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,25.0,17.0,10.0,15.0,9.0,16.0,20.0,26.0,30.0,29.0,136,125,133.13526955694348
5b2f7e715307700001059b78,31,Female,"Some college, no degree",right,1.0,142.0,349.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,25.0,12.0,6.0,21.0,12.0,9.0,26.0,24.0,34.0,32.0,398,162,317.02523558858843
