id,age,gender,education,pc_choice,pc_result,x,y,pc_choice_image,bigl,gambling_expectancies,illusion_of_control,predictive_control,inability_to_stop_gambling,interpretive_bias,rational_ability,rational_engagement,experimental_ability,experimental_engagement,pc_choice_x,pc_choice_y,dist
5d1a570826d4630001180f95,39,Male,"Some college, no degree",top left,kite,359.09090909090907,280.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,24.0,4.0,5.0,6.0,5.0,4.0,31.0,29.0,29.0,26.0,136,125,271.65152994048873
5c3bf25286148f00015d298f,27,Female,Associate degree,top left,circle,253.63636363636363,428.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,39.0,4.0,8.0,11.0,5.0,8.0,25.0,32.0,26.0,25.0,136,125,325.2038267388928
5e904c70d2668d34a40d37af,32,Female,High school graduate (includes equivalency),right,triangle,140.9090909090909,344.54545454545456,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,35.0,4.0,4.0,9.0,5.0,4.0,38.0,29.0,30.0,27.0,398,162,315.30711776361267
5d547cb99b7c4e0016886fdb,22,Female,Bachelor's degree,top left,kite,363.6363636363636,248.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,21.0,4.0,4.0,12.0,5.0,4.0,30.0,24.0,25.0,27.0,136,125,258.8282719877511
5ea41270006ae7225d763c71,22,Female,"Some college, no degree",right,square,213.63636363636363,311.8181818181818,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,,,,,,,,,,,398,162,237.5614405086165
5ea9d32797758c12c16033a6,26,Female,High school graduate (includes equivalency),right,kite,291.8181818181818,180.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,16.0,4.0,4.0,6.0,5.0,4.0,27.0,26.0,26.0,29.0,398,162,107.69669684998095
5d8e79ccd0e8b9001846e8a8,35,Female,High school graduate (includes equivalency),top left,square,389.09090909090907,214.54545454545453,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,19.0,9.0,9.0,16.0,11.0,7.0,27.0,22.0,28.0,31.0,136,125,268.46488912745156
5e904f36cc3d6c355bbf48fa,35,Male,Bachelor's degree,right,circle,349.09090909090907,141.8181818181818,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,18.0,8.0,8.0,12.0,8.0,8.0,30.0,34.0,24.0,36.0,398,162,52.909403310542906
5caccbc4976d010014b9cd9d,34,Male,"Some college, no degree",bottom left,kite,361.8181818181818,177.27272727272728,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,28.0,12.0,10.0,20.0,9.0,15.0,32.0,31.0,25.0,27.0,182,405,290.16252214267496
5ec9c1e8e0bca24f34bd4233,29,Male,Graduate or professional degree,right,kite,291.8181818181818,179.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,8.0,11.0,4.0,7.0,5.0,10.0,24.0,21.0,30.0,29.0,398,162,107.54848992873129
5b6f178df7ed9d000153bd9c,35,Female,Bachelor's degree,right,kite,139.0909090909091,344.54545454545456,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,24.0,4.0,14.0,11.0,5.0,4.0,27.0,27.0,32.0,31.0,398,162,316.7913514137949
5c7299073065320001bdec6d,30,Female,Bachelor's degree,bottom left,kite,407.27272727272725,320.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,240.77541745969947
5ec6d32711de030ed3f8f69d,30,Male,Graduate or professional degree,bottom left,square,300.9090909090909,340.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,26.0,13.0,13.0,16.0,18.0,12.0,29.0,29.0,29.0,27.0,182,405,135.51520911258055
5ea300a5733c8107ec2478a3,23,Female,Bachelor's degree,right,circle,70.9090909090909,304.54545454545456,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,,,,,,,,,,,398,162,356.8020031074484
59607d6c2fa2630001d87d75,30,Female,Bachelor's degree,bottom left,triangle,361.8181818181818,249.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,27.0,14.0,18.0,28.0,19.0,16.0,34.0,37.0,27.0,39.0,182,405,237.9962670726074
5ed39e0d5787723373a9e433,40,Male,"Some college, no degree",right,triangle,263.6363636363636,212.72727272727272,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,10.0,4.0,4.0,8.0,5.0,4.0,22.0,27.0,26.0,31.0,398,162,143.62048243619924
5b8dab9eb91f4c0001994637,18,Male,Bachelor's degree,right,triangle,419.09090909090907,171.8181818181818,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,31.0,12.0,12.0,19.0,5.0,11.0,22.0,22.0,27.0,29.0,398,162,23.264202984324793
5f5fec8203c3fa0c8e7813e9,33,Female,"Some college, no degree",top left,circle,360.9090909090909,174.54545454545453,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,230.30165270720357
5f1985f56f5b57012ea9626c,30,Male,Bachelor's degree,right,triangle,260.0,303.6363636363636,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,26.0,13.0,5.0,18.0,10.0,21.0,24.0,36.0,26.0,32.0,398,162,197.7494867354457
5f14b19a2cd39e53d8a3744f,18,Female,"Some college, no degree",bottom left,square,167.27272727272728,249.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,156.60311998834072
5730ab97dd6617000fdaa615,33,Male,High school graduate (includes equivalency),top left,kite,263.6363636363636,168.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,40.0,23.0,24.0,34.0,28.0,22.0,30.0,34.0,28.0,33.0,136,125,134.74312874429498
5f14279fc08bc146c73053eb,23,Female,Bachelor's degree,right,square,151.8181818181818,123.63636363636363,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,40.0,10.0,4.0,10.0,5.0,13.0,25.0,24.0,26.0,30.0,398,162,249.1530778424122
5c407004a3cb070001d85339,36,Male,High school graduate (includes equivalency),right,square,71.81818181818181,348.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,,,,,,,,,,,398,162,375.5772196684515
5ea977cb2998a708383c2390,30,Female,"Some college, no degree",top left,circle,263.6363636363636,213.63636363636363,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,28.0,12.0,6.0,14.0,7.0,9.0,31.0,28.0,30.0,26.0,136,125,155.39448600575162
583f02c8ca2e57000184353c,38,Female,Bachelor's degree,right,square,138.1818181818182,290.9090909090909,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,,,,,,,,,,,398,162,290.03972369714126
5f3bbda5bf0150908eee2d35,36,Female,"Some college, no degree",bottom left,circle,360.9090909090909,178.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,18.0,4.0,4.0,7.0,5.0,5.0,25.0,26.0,32.0,27.0,182,405,288.8857047574752
5e87106a0d7d0a351e568a2f,42,Female,Graduate or professional degree,right,kite,280.9090909090909,440.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,26.0,7.0,6.0,15.0,6.0,6.0,20.0,26.0,30.0,33.0,398,162,301.65258326713456
5f31a8f44ba5bf0b08a98eba,23,Male,High school graduate (includes equivalency),right,square,167.27272727272728,248.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,27.0,8.0,4.0,12.0,5.0,11.0,22.0,25.0,35.0,27.0,398,162,246.2973409626853
5e6fe29ad2723d5b0a04bb69,23,Female,Associate degree,top left,kite,339.09090909090907,425.45454545454544,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,9.0,4.0,4.0,6.0,5.0,4.0,24.0,23.0,32.0,30.0,136,125,362.6552787974682
5c897a3eafd58300172d2733,33,Female,"Some college, no degree",right,square,157.27272727272728,216.36363636363635,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,,,,,,,,,,,398,162,246.7894341202403
5ed77c4e1d16bd20a8b1a4ed,30,Male,Graduate or professional degree,bottom left,square,264.54545454545456,209.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,4.0,4.0,6.0,6.0,8.0,18.0,20.0,34.0,25.0,182,405,212.589096538233
5b8aef321a9fb60001e630c3,31,Male,Graduate or professional degree,bottom left,circle,262.7272727272727,301.8181818181818,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,,,,,,,,,,182,405,131.00908428536263
5f063739ac6b9d0be8e37a3c,28,Female,Bachelor's degree,top left,triangle,348.1818181818182,383.6363636363636,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,334.53533828578327
5dc2ef762bdeaa2048421817,21,Female,Bachelor's degree,bottom left,kite,52.72727272727273,169.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,25.0,4.0,4.0,6.0,5.0,4.0,24.0,28.0,27.0,30.0,182,405,269.00657462241077
